s	rpm	V	V	l/min	bar
Time  Spider8_1 CH=1	n CH=2	U_ster CH=3	Znacznik CH=4	Q CH=5	p CH=8
0	2524,5	5,9462859	5,008547658	12,36904321	7,280838109
0,0002	2524,5	5,946279943	5,06069551	12,36855485	7,273748858
0,0004	2524,5	5,946234074	5,170148498	12,37171126	7,273837864
0,0006	2524,5	5,946100529	5,313493373	12,37410279	7,278908067
0,0008	2524,5	5,945960088	5,472613782	12,37342285	7,286650844
0,0011	2524,5	5,94594283	5,637192133	12,37126188	7,29639398
0,0013	2524,5	5,945998162	5,795871741	12,3716409	7,305362299
0,0015	2523,882322	5,946023451	5,973830675	12,37521423	7,311373847
0,0017	2522,367518	5,945886658	6,165446384	12,37571226	7,314132822
0,0019	2519,832539	5,945668002	6,329143798	12,3721536	7,314726937
0,0021	2516,631687	5,94550124	6,398626537	12,3667503	7,313681315
0,0023	2513,430836	5,945425034	6,325234731	12,36476519	7,311893795
0,0025	2510,895856	5,945416065	6,176423597	12,36797416	7,311405059
0,0027	2509,381052	5,945384318	6,044772373	12,37058183	7,311525536
0,0029	2508,763374	5,945290343	5,991614786	12,37020289	7,310422524
0,0031	2508,5	5,945204637	6,029350478	12,36737087	7,307391613
0,0033	2508,5	5,945231668	6,073802316	12,36601163	7,302955616
0,0036	2508,5	5,945338722	6,072465549	12,36840871	7,29522192
0,0038	2508,5	5,945376589	6,024162469	12,37003485	7,286348797
0,004	2508,5	5,945244645	5,950128916	12,36949168	7,278565929
0,0042	2508,5	5,945011072	5,897448452	12,36817176	7,274241326
0,0044	2508,5	5,944805534	5,882559835	12,36915194	7,276355886
0,0046	2508,5	5,944744283	5,903625977	12,37418716	7,284739144
0,0048	2508,5	5,944764855	5,952292765	12,37759571	7,296449113
0,005	2508,5	5,94477034	6,023407606	12,37613629	7,307612406
0,0052	2507,978835	5,944658569	6,144695904	12,37103267	7,315476529
0,0054	2506,700718	5,944503211	6,31628776	12,36708586	7,318987353
0,0056	2504,561829	5,944424863	6,507140095	12,36741715	7,317884312
0,0058	2501,861111	5,944478727	6,723319544	12,3679845	7,314204126
0,0061	2498,928764	5,944556705	6,969626307	12,36707668	7,308711427
0,0063	2496,221823	5,944554328	7,234386469	12,36549242	7,301420129
0,0065	2493,99309	5,944410175	7,496074282	12,36595613	7,29605783
0,0067	2492,271605	5,944256824	7,744340995	12,36965381	7,292115688
0,0069	2490,849063	5,944169413	7,958948405	12,37265159	7,292402664
0,0071	2489,898446	5,944131945	8,095326994	12,37271932	7,294260387
0,0073	2489,330395	5,944081359	8,13665686	12,37115381	7,298942142
0,0075	2489,098765	5,944007861	8,12254211	12,37117757	7,299324631
0,0077	2489	5,943943295	8,092613335	12,37444241	7,297450709
0,0079	2489	5,943992006	8,085640585	12,37612576	7,294113761
0,0081	2489	5,944160813	8,110839273	12,37420802	7,29007246
0,0083	2489	5,944344207	8,159380312	12,37085337	7,288050784
0,0086	2489	5,944392009	8,215299273	12,36984381	7,289079945
0,0088	2489	5,944340522	8,269088063	12,37309322	7,293790397
0,009	2489,019302	5,944309882	8,31246215	12,37620305	7,300132712
0,0092	2489,06664	5,944413791	8,352959096	12,37609783	7,303316787
0,0094	2489,145858	5,944616488	8,394806362	12,37369458	7,306669877
0,0096	2489,245885	5,944801217	8,442316308	12,37268	7,307845377
0,0098	2489,345911	5,944888997	8,496911423	12,37507869	7,307064286
0,01	2489,425129	5,944909038	8,582890723	12,3760589	7,307926632
0,0102	2489,472467	5,944987621	8,716699051	12,37301104	7,306988123
0,0104	2489,49177	5,945195573	8,87433967	12,36845807	7,30552793
0,0106	2489,5	5,945429145	9,041455609	12,36671723	7,301550557
0,0108	2489,5	5,945577978	9,223167263	12,37039986	7,297387623
0,0111	2489,5	5,945628024	9,411580139	12,37407343	7,297095499
0,0113	2489,5	5,945649069	9,591954814	12,3738681	7,298510824
0,0115	2489,5	5,945712868	9,745159369	12,37039772	7,298916021
0,0117	2489,5	5,945795732	9,86566512	12,36751908	7,298568792
0,0119	2489,5	5,945828749	9,946616356	12,36909414	7,298953221
0,0121	2489,5	5,945746018	9,986339759	12,37137172	7,302468877
0,0123	2489,5	5,945603237	10,00431236	12,3714852	7,306783557
0,0125	2489,5	5,945505588	10,00973663	12,37022846	7,312741649
0,0127	2489,5	5,94552991	10,01	12,37003647	7,31609708
0,0129	2489,5	5,945572162	10,01	12,37393086	7,316066681
0,0131	2489,5	5,945514217	10,01	12,37726592	7,315313126
0,0133	2489,5	5,945362335	10,01	12,37584893	7,313379268
0,0136	2489,635117	5,945233174	10,01	12,37085234	7,311292536
0,0138	2489,96648	5,945187711	10,01	12,36648169	7,306400255
0,014	2490,521007	5,945249768	10,01	12,36724316	7,299037339
0,0142	2491,221193	5,945258264	10,01	12,36936485	7,293043118
0,0144	2491,92138	5,945164924	10,01	12,36958706	7,287447847
0,0146	2492,475906	5,94499749	10,01	12,3683413	7,286999174
0,0148	2492,80727	5,944911282	10,01	12,36801889	7,287105765
0,015	2492,942387	5,944994013	10,01	12,37121876	7,284434869
0,0152	2493	5,945187143	10,01	12,37489136	7,28139398
0,0154	2493	5,945324867	10,01	12,37558732	7,280967465
0,0156	2493	5,945364343	10,01	12,37408499	7,282907599
0,0158	2493	5,945358688	10,01	12,3730473	7,28961754
0,0161	2493	5,945472201	10,01	12,37553398	7,299062619
0,0163	2493	5,945688848	10,01	12,37757335	7,305688498
0,0165	2493	5,945915194	10,01	12,37607576	7,304378636
0,0167	2493	5,946049943	10,01	12,37297731	7,295814935
0,0169	2493	5,946121167	10,01	12,37158777	7,286198181
0,0171	2493	5,946240732	10,01	12,37516999	7,278261047
0,0173	2493,965121	5,946466983	10,01	12,37933739	7,271546566
0,0175	2496,332003	5,946734443	10,01	12,38011528	7,270075266
0,0177	2500,292908	5,946875216	10,01	12,3777806	7,26965789
0,0179	2505,294239	5,946821353	10,01	12,37541419	7,269430878
0,0181	2510,295569	5,946680949	10,01	12,37668209	7,270388421
0,0183	2514,256474	5,946606987	10,01	12,37768616	7,273519618
0,0186	2516,623356	5,946637163	10,01	12,37451612	7,27733648
0,0188	2517,588477	5,94668577	10,01	12,36936533	7,281665915
0,019	2518	5,946626319	10,01	12,36595849	7,287084447
0,0192	2518	5,946483539	10,01	12,36853079	7,293389219
0,0194	2518	5,94635722	10,01	12,37276675	7,299259259
0,0196	2518	5,946374684	10,01	12,37361455	7,307522013
0,0198	2518	5,94647886	10,01	12,37105304	7,314189084
0,02	2518	5,946536029	10,01	12,36817678	7,321011548
0,0202	2518	5,946437841	10,01	12,36993548	7,322829207
0,0204	2518	5,946243375	10,01	12,37343183	7,321901749
0,0206	2518	5,94609153	10,01	12,37457001	7,315467706
0,0208	2518	5,946013989	10,01	12,37378219	7,303409408
0,0211	2518	5,945949452	10,01	12,37339992	7,290704353
0,0213	2518	5,945856282	10,01	12,37728825	7,282148056
0,0215	2518	5,945705774	10,01	12,38155339	7,278802605
0,0217	2518	5,945622407	10,01	12,38116073	7,283290031
0,0219	2518,540468	5,945688715	10,01	12,37633973	7,291071772
0,0221	2519,865922	5,945824771	10,01	12,37075307	7,302320282
0,0223	2522,084029	5,945881941	10,01	12,36974112	7,312738843
0,0225	2524,884774	5,945751871	10,01	12,37139151	7,321111863
0,0227	2527,685519	5,94548926	10,01	12,37108248	7,328131226
0,0229	2529,903626	5,94528573	10,01	12,36916123	7,331177206
0,0231	2531,229079	5,945168077	10,01	12,36747827	7,329973879
0,0233	2531,769547	5,94510354	10,01	12,37022417	7,3257095
0,0236	2532	5,945022949	10,01	12,37475791	7,320665446
0,0238	2532	5,944873947	10,01	12,37622835	7,315086374
0,024	2532	5,944792919	10,01	12,37476001	7,310277026
0,0242	2532	5,944851537	10,01	12,37277368	7,304743135
0,0244	2532	5,944962399	10,01	12,3744604	7,29998493
0,0246	2532	5,945028803	10,01	12,37746869	7,294724102
0,0248	2531,015576	5,944907466	10,01	12,37703056	7,293097095
0,025	2528,601357	5,944705603	10,01	12,37385208	7,29589729
0,0252	2524,561233	5,944575107	10,01	12,37053665	7,300146626
0,0254	2519,459877	5,944563666	10,01	12,37184565	7,303377011
0,0256	2514,011076	5,944643651	10,01	12,37563277	7,3037606
0,0258	2509,118875	5,944612908	10,01	12,37655719	7,300577945
0,0261	2505,27873	5,9444459	10,01	12,37439906	7,296723304
0,0263	2502,493827	5,944252978	10,01	12,37142582	7,292170821
0,0265	2500,273595	5,944147098	10,01	12,37244481	7,290261956
0,0267	2498,847669	5,944177274	10,01	12,37549695	7,288786721
0,0269	2497,995592	5,944213806	10,01	12,3745918	7,28712963
0,0271	2497,648148	5,944156694	10,01	12,37045785	7,284637729
0,0273	2497,5	5,944019805	10,01	12,36579322	7,282940546
0,0275	2497,5	5,943908403	10,01	12,36600365	7,282493029
0,0277	2497,5	5,943981435	10,01	12,37010284	7,283419331
0,0279	2497,5	5,944172056	10,01	12,37148199	7,285911232
0,0281	2497,5	5,944340324	10,01	12,36927555	7,290246914
0,0283	2497,5	5,944409805	10,01	12,36534126	7,295664318
0,0286	2497,5	5,944401811	10,01	12,36499297	7,298539836
0,0288	2497,5	5,944436438	10,01	12,36842481	7,297002065
0,029	2497,5	5,944548711	10,01	12,37008932	7,295175582
0,0292	2497,5	5,944676034	10,01	12,37012493	7,293098251
0,0294	2496,920927	5,944752373	10,01	12,36971871	7,291154183
0,0296	2495,500798	5,944776762	10,01	12,37207544	7,292174784
0,0298	2493,124255	5,944840759	10,01	12,37684642	7,295714591
0,03	2490,123457	5,945065001	10,01	12,37748226	7,301344835
0,0302	2487,122659	5,945383181	10,01	12,37349843	7,306299681
0,0304	2484,746115	5,945626822	10,01	12,36749134	7,309132822
0,0306	2483,325986	5,945707375	10,01	12,36514252	7,30764648
0,0308	2482,746914	5,945649202	10,01	12,36744831	7,300512888
0,0311	2482,5	5,945595878	10,01	12,36825842	7,291007557
0,0313	2482,5	5,945584976	10,01	12,36741585	7,285485846
0,0315	2482,5	5,94559531	10,01	12,36597555	7,283984462
0,0317	2482,5	5,945562056	10,01	12,36750534	7,285150589
0,0319	2482,5	5,945472467	10,01	12,3721388	7,285411444
0,0321	2482,5	5,945420981	10,01	12,37461594	7,283348027
0,0323	2482,5	5,945522049	10,01	12,37415981	7,280675398
0,0325	2482,5	5,945676403	10,01	12,37235686	7,27966385
0,0327	2482,5	5,945762612	10,01	12,37315299	7,27911888
0,0329	2482,5	5,945657196	10,01	12,37673437	7,280552923
0,0331	2482,905351	5,945411548	10,01	12,37688679	7,279944895
0,0333	2483,899441	5,945170748	10,01	12,37376874	7,279168895
0,0336	2485,563022	5,945040015	10,01	12,3699552	7,279245317
0,0338	2487,66358	5,944990936	10,01	12,37021981	7,279335682
0,034	2489,764139	5,944989562	10,01	12,37438994	7,280230715
0,0342	2491,427719	5,94499177	10,01	12,37642345	7,279859649
0,0344	2492,42181	5,945068345	10,01	12,37523869	7,27675116
0,0346	2492,82716	5,945272281	10,01	12,37267064	7,271425248
0,0348	2493	5,945541617	10,01	12,37310317	7,263942142
0,035	2493	5,94571427	10,01	12,37723483	7,260590124
0,0352	2493	5,945696303	10,01	12,37808179	7,257912718
0,0354	2493	5,945522646	10,01	12,37483389	7,257562076
0,0356	2493	5,945396828	10,01	12,36974845	7,260382432
0,0358	2493	5,945391648	10,01	12,36807343	7,2632176
0,0361	2493	5,945451327	10,01	12,37121818	7,268716259
0,0363	2493	5,945537866	10,01	12,37248301	7,273581027
0,0365	2493	5,945601533	10,01	12,37040926	7,277349266
0,0367	2493	5,945697742	10,01	12,3664603	7,277632567
0,0369	2493	5,945963971	10,01	12,36539608	7,2728542
0,0371	2493	5,946341564	10,01	12,36959366	7,271511307
0,0373	2493	5,946686235	10,01	12,37241443	7,274142167
0,0375	2493	5,946836943	10,01	12,37278078	7,284455843
0,0377	2493,038605	5,946785457	10,01	12,37140812	7,298514814
0,0379	2493,13328	5,946695904	10,01	12,37188943	7,307786888
0,0381	2493,291716	5,946669413	10,01	12,37597629	7,311306506
0,0383	2493,49177	5,946684634	10,01	12,37719262	7,307698779
0,0386	2493,691823	5,946700688	10,01	12,37365196	7,299747967
0,0388	2493,850259	5,946654222	10,01	12,36733109	7,291915084
